Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2021-12-28,15:00 (17:00),Premier League,Matchweek 20,Tue,Away,D,1,1,Southampton,2.3,0.4,65,31304,Hugo Lloris,3-4-3,Anthony Taylor,Match Report,
2022-01-01,15:00 (17:00),Premier League,Matchweek 21,Sat,Away,W,1,0,Watford,2.2,0.3,74,20391,Hugo Lloris,3-4-3,Robert Jones,Match Report,
2022-01-05,19:45 (21:45),EFL Cup,Semi-finals,Wed,Away,L,0,2,Chelsea,,,36,37868,Hugo Lloris,3-4-3,Craig Pawson,Match Report,Leg 1 of 2
2022-01-09,14:00 (16:00),FA Cup,Third round proper,Sun,Home,W,3,1,Morecambe,,,79,40310,Ben Davies,5-3-2,John Brooks,Match Report,
2022-01-12,19:45 (21:45),EFL Cup,Semi-finals,Wed,Home,L,0,1,Chelsea,,,36,45603,Harry Kane,5-3-2,Andre Marriner,Match Report,Leg 2 of 2; Chelsea won
2022-01-19,19:30 (21:30),Premier League,Matchweek 17,Wed,Away,W,3,2,Leicester City,3.1,1.2,51,31986,Hugo Lloris,3-5-2,Jonathan Moss,Match Report,
2022-01-23,16:30 (18:30),Premier League,Matchweek 23,Sun,Away,L,0,2,Chelsea,0.5,1.2,36,40020,Hugo Lloris,4-4-2,Paul Tierney,Match Report,
2022-02-05,20:00 (22:00),FA Cup,Fourth round proper,Sat,Home,W,3,1,Brighton,,,43,54697,Hugo Lloris,3-4-3,Stuart Attwell,Match Report,
2022-02-09,19:45 (21:45),Premier League,Matchweek 24,Wed,Home,L,2,3,Southampton,1.4,2.2,48,54012,Hugo Lloris,3-4-3,David Coote,Match Report,
2022-02-13,14:00 (16:00),Premier League,Matchweek 25,Sun,Home,L,0,2,Wolves,1.2,1.3,58,56452,Hugo Lloris,3-4-3,Kevin Friend,Match Report,
2022-02-19,17:30 (19:30),Premier League,Matchweek 26,Sat,Away,W,3,2,Manchester City,1.4,2.1,29,53201,Hugo Lloris,3-4-3,Anthony Taylor,Match Report,
2022-02-23,19:30 (21:30),Premier League,Matchweek 13,Wed,Away,L,0,1,Burnley,0.7,0.9,66,19488,Hugo Lloris,3-4-3,Graham Scott,Match Report,
2022-02-26,12:30 (14:30),Premier League,Matchweek 27,Sat,Away,W,4,0,Leeds United,1.9,1.5,50,36599,Hugo Lloris,3-4-3,Craig Pawson,Match Report,
2022-03-01,19:55 (21:55),FA Cup,Fifth round proper,Tue,Away,L,0,1,Middlesbrough,,,49,31135,Hugo Lloris,3-4-3,Darren England,Match Report,Required Extra Time
2022-03-07,20:00 (22:00),Premier League,Matchweek 28,Mon,Home,W,5,0,Everton,2.5,0.2,55,59647,Hugo Lloris,3-4-3,Stuart Attwell,Match Report,
2022-03-12,17:30 (19:30),Premier League,Matchweek 29,Sat,Away,L,2,3,Manchester Utd,1.5,1.0,57,73458,Hugo Lloris,3-4-3,Jonathan Moss,Match Report,
2022-03-16,19:30 (21:30),Premier League,Matchweek 16,Wed,Away,W,2,0,Brighton,2.2,0.7,52,31144,Hugo Lloris,3-4-3,Robert Jones,Match Report,
2022-03-20,16:30 (18:30),Premier League,Matchweek 30,Sun,Home,W,3,1,West Ham,3.0,0.6,53,58685,Hugo Lloris,3-4-3,Anthony Taylor,Match Report,
2022-04-03,16:30 (17:30),Premier League,Matchweek 31,Sun,Home,W,5,1,Newcastle Utd,3.1,0.5,60,57553,Hugo Lloris,3-4-3,Martin Atkinson,Match Report,
2022-04-09,17:30 (18:30),Premier League,Matchweek 32,Sat,Away,W,4,0,Aston Villa,1.1,1.6,48,41949,Hugo Lloris,3-4-3,Graham Scott,Match Report,
2022-04-16,12:30 (13:30),Premier League,Matchweek 33,Sat,Home,L,0,1,Brighton,0.5,0.6,49,58685,Hugo Lloris,3-4-3,Craig Pawson,Match Report,
2022-04-23,17:30 (18:30),Premier League,Matchweek 34,Sat,Away,D,0,0,Brentford,0.6,0.9,56,17072,Hugo Lloris,3-4-3,Martin Atkinson,Match Report,
2022-05-01,14:00 (15:00),Premier League,Matchweek 35,Sun,Home,W,3,1,Leicester City,1.2,0.5,40,59482,Hugo Lloris,3-4-3,Jonathan Moss,Match Report,
2022-05-07,19:45 (20:45),Premier League,Matchweek 36,Sat,Away,D,1,1,Liverpool,0.9,1.3,36,53177,Hugo Lloris,3-4-3,Michael Oliver,Match Report,
2022-05-12,19:45 (20:45),Premier League,Matchweek 22,Thu,Home,W,3,0,Arsenal,2.7,0.5,57,62027,Hugo Lloris,3-4-3,Paul Tierney,Match Report,
2022-05-15,12:00 (13:00),Premier League,Matchweek 37,Sun,Home,W,1,0,Burnley,2.2,0.7,68,61729,Hugo Lloris,3-4-3,Kevin Friend,Match Report,
2022-05-22,16:00 (17:00),Premier League,Matchweek 38,Sun,Away,W,5,0,Norwich City,3.4,0.5,59,27022,Hugo Lloris,3-4-3,Chris Kavanagh,Match Report,
