--- When using SR data, please cite us and provide a link and/or a mention.


 
Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2021-12-07,18:45 (19:45),Champions Lg,Group stage,Tue,Away,L,1,2,de RB Leipzig,1.2,1.7,56,,Fernandinho,4-3-3,Sandro Schärer,Match Report,
2021-12-11,12:30 (14:30),Premier League,Matchweek 16,Sat,Home,W,1,0,Wolves,3.2,0.2,71,52613,İlkay Gündoğan,4-3-3,Jonathan Moss,Match Report,
2021-12-14,20:00 (22:00),Premier League,Matchweek 17,Tue,Home,W,7,0,Leeds United,3.1,0.3,63,52401,Rúben Dias,4-2-3-1,Paul Tierney,Match Report,
2021-12-19,14:15 (16:15),Premier League,Matchweek 18,Sun,Away,W,4,0,Newcastle Utd,2.9,0.3,71,52127,Rúben Dias,4-2-3-1,Martin Atkinson,Match Report,
2021-12-26,15:00 (17:00),Premier League,Matchweek 19,Sun,Home,W,6,3,Leicester City,3.6,2.7,72,53226,Fernandinho,4-3-3,Chris Kavanagh,Match Report,
2021-12-29,20:15 (22:15),Premier League,Matchweek 20,Wed,Away,W,1,0,Brentford,1.1,0.4,76,17009,Fernandinho,4-3-3,David Coote,Match Report,
2022-01-01,12:30 (14:30),Premier League,Matchweek 21,Sat,Away,W,2,1,Arsenal,2.0,0.8,71,59757,Rúben Dias,4-2-3-1,Stuart Attwell,Match Report,
2022-01-07,20:00 (22:00),FA Cup,Third round proper,Fri,Away,W,4,1,Swindon Town,,,77,14753,İlkay Gündoğan,4-3-3,Darren England,Match Report,
2022-01-15,12:30 (14:30),Premier League,Matchweek 22,Sat,Home,W,1,0,Chelsea,1.0,0.3,56,53319,Kevin De Bruyne,4-2-3-1,Craig Pawson,Match Report,
2022-01-22,17:30 (19:30),Premier League,Matchweek 23,Sat,Away,D,1,1,Southampton,1.8,0.8,74,31178,Rúben Dias,4-3-3,Simon Hooper,Match Report,
2022-02-05,15:00 (17:00),FA Cup,Fourth round proper,Sat,Home,W,4,1,Fulham,,,61,53400,Fernandinho,4-3-3,Jarred Gillett,Match Report,
2022-02-09,19:45 (21:45),Premier League,Matchweek 24,Wed,Home,W,2,0,Brentford,1.9,0.4,74,51658,Rúben Dias,4-3-3,Darren England,Match Report,
2022-02-12,17:30 (19:30),Premier League,Matchweek 25,Sat,Away,W,4,0,Norwich City,4.6,0.4,71,27010,Fernandinho,4-3-3,Andre Marriner,Match Report,
2022-02-15,20:00 (22:00),Champions Lg,Round of 16,Tue,Away,W,5,0,pt Sporting CP,2.1,0.1,63,48129,Rúben Dias,4-3-3,Srdjan Stojanovic,Match Report,Leg 1 of 2
2022-02-19,17:30 (19:30),Premier League,Matchweek 26,Sat,Home,L,2,3,Tottenham,2.1,1.4,71,53201,İlkay Gündoğan,4-3-3,Anthony Taylor,Match Report,
2022-02-26,17:30 (19:30),Premier League,Matchweek 27,Sat,Away,W,1,0,Everton,1.8,0.5,67,39105,İlkay Gündoğan,4-3-3,Paul Tierney,Match Report,
2022-03-01,19:15 (21:15),FA Cup,Fifth round proper,Tue,Away,W,2,0,P'borough Utd,,,76,13405,Oleksandr Zinchenko,4-3-3,Andy Madley,Match Report,
2022-03-06,16:30 (18:30),Premier League,Matchweek 28,Sun,Home,W,4,1,Manchester Utd,2.7,0.5,69,53165,Kevin De Bruyne,4-3-3,Michael Oliver,Match Report,
2022-03-09,20:00 (22:00),Champions Lg,Round of 16,Wed,Home,D,0,0,pt Sporting CP,1.5,0.8,68,51213,Fernandinho,4-3-3,Halil Umut Meler,Match Report,Leg 2 of 2; Manchester City won
2022-03-14,20:00 (22:00),Premier League,Matchweek 29,Mon,Away,D,0,0,Crystal Palace,2.8,0.6,73,25309,Kevin De Bruyne,4-3-3,Martin Atkinson,Match Report,
2022-03-20,15:00 (17:00),FA Cup,Quarter-finals,Sun,Away,W,4,1,Southampton,,,65,29702,İlkay Gündoğan,4-3-3,Mike Dean,Match Report,
2022-04-02,15:00 (16:00),Premier League,Matchweek 31,Sat,Away,W,2,0,Burnley,1.8,0.1,76,21249,İlkay Gündoğan,4-3-3,Craig Pawson,Match Report,
2022-04-05,20:00 (21:00),Champions Lg,Quarter-finals,Tue,Home,W,1,0,es Atlético Madrid,1.0,0.0,70,52018,İlkay Gündoğan,4-3-3,István Kovács,Match Report,Leg 1 of 2
2022-04-10,16:30 (17:30),Premier League,Matchweek 32,Sun,Home,D,2,2,Liverpool,1.3,1.3,55,53197,Kevin De Bruyne,4-2-3-1,Anthony Taylor,Match Report,
2022-04-13,21:00,Champions Lg,Quarter-finals,Wed,Away,D,0,0,es Atlético Madrid,1.2,0.8,59,65675,İlkay Gündoğan,4-3-3,Daniel Siebert,Match Report,Leg 2 of 2; Manchester City won
2022-04-16,15:30 (16:30),FA Cup,Semi-finals,Sat,Home,L,2,3,Liverpool,,,49,73793,Fernandinho,4-3-3,Michael Oliver,Match Report,
2022-04-20,20:00 (21:00),Premier League,Matchweek 30,Wed,Home,W,3,0,Brighton,1.3,0.2,65,52226,İlkay Gündoğan,4-3-3,Mike Dean,Match Report,
2022-04-23,15:00 (16:00),Premier League,Matchweek 34,Sat,Home,W,5,1,Watford,3.6,0.5,73,53013,Fernandinho,4-2-3-1,Kevin Friend,Match Report,
2022-04-26,20:00 (21:00),Champions Lg,Semi-finals,Tue,Home,W,4,3,es Real Madrid,2.7,1.6,59,52217,Rúben Dias,4-3-3,István Kovács,Match Report,Leg 1 of 2
2022-04-30,17:30 (18:30),Premier League,Matchweek 35,Sat,Away,W,4,0,Leeds United,2.4,1.3,58,35771,İlkay Gündoğan,4-2-3-1,Paul Tierney,Match Report,
2022-05-04,21:00,Champions Lg,Semi-finals,Wed,Away,L,1,3,es Real Madrid,1.4,2.3,55,61416,Rúben Dias,4-3-3,Daniele Orsato,Match Report,Leg 2 of 2; Real Madrid won; Required Extra Time
2022-05-08,16:30 (17:30),Premier League,Matchweek 36,Sun,Home,W,5,0,Newcastle Utd,3.1,0.8,71,53336,İlkay Gündoğan,4-2-3-1,Stuart Attwell,Match Report,
2022-05-11,20:15 (21:15),Premier League,Matchweek 33,Wed,Away,W,5,1,Wolves,2.3,0.5,66,32000,Fernandinho,4-2-3-1,Martin Atkinson,Match Report,
2022-05-15,14:00 (15:00),Premier League,Matchweek 37,Sun,Away,D,2,2,West Ham,2.4,1.1,78,59972,Fernandinho,4-3-3,Anthony Taylor,Match Report,
2022-05-22,16:00 (17:00),Premier League,Matchweek 38,Sun,Home,W,3,2,Aston Villa,3.4,0.2,71,53395,Fernandinho,4-3-3,Michael Oliver,Match Report,
