,Player,shirt_number,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks
904,Georginio Wijnaldum ,5,NED,CM,30-116,61,0,0,0,0,0,0,0,0,42,1,0,0
905,   Sadio Mané ,10,SEN,LM,28-331,29,0,0,0,0,3,0,0,0,18,1,0,0
906,James Milner ,7,ENG,"RM,CM",35-062,75,0,0,0,0,1,0,0,0,86,1,2,1
907,   Fabinho ,3,BRA,CM,27-135,15,0,0,0,0,0,0,0,0,25,2,1,0
908,Andrew Robertson ,26,SCO,LB,26-361,90,0,0,0,0,0,0,0,0,96,1,0,0
909,Rhys Williams ,46,ENG,CB,20-032,90,0,0,0,0,0,0,0,0,97,1,0,0
910,Nathaniel Phillips ,47,ENG,CB,23-351,90,0,0,0,0,2,0,0,0,115,0,2,2
911,Neco Williams ,76,WAL,RB,19-328,75,0,0,0,0,1,0,0,0,77,4,2,1
912,   Trent Alexander-Arnold ,66,ENG,RB,22-151,15,0,0,0,0,0,0,0,0,37,0,0,0
913,Alisson ,1,BRA,GK,28-156,90,0,0,0,0,0,0,0,0,34,0,0,0
914,Diogo Jota ,20,POR,FW,24-101,81,1,0,0,0,2,2,0,0,43,1,2,1
915,   Alex Oxlade-Chamberlain ,15,ENG,FW,27-212,9,0,0,0,0,1,0,0,0,9,1,0,0
916,Sadio Mané ,10,SEN,LW,28-339,90,0,1,0,0,5,1,0,0,48,1,2,1
917,Mohamed Salah ,11,EGY,RW,28-273,90,0,0,0,0,3,1,0,0,32,1,0,0
918,Georginio Wijnaldum ,5,NED,LM,30-124,66,0,0,0,0,0,0,0,0,38,0,1,0
919,   James Milner ,7,ENG,LM,35-070,24,0,0,0,0,0,0,0,0,15,1,0,1
920,Fabinho ,3,BRA,CM,27-143,90,0,0,0,0,0,0,0,0,54,1,3,2
921,Thiago Alcántara ,6,ESP,RM,29-338,66,0,0,0,0,0,0,1,0,58,2,1,4
922,   Naby Keïta ,8,GUI,RM,26-033,24,0,0,0,0,0,0,0,0,13,2,0,0
923,Andrew Robertson ,26,SCO,LB,27-004,90,0,0,0,0,0,0,0,0,76,1,0,0
924,Ozan Kabak ,19,TUR,CB,20-355,90,0,0,0,0,1,0,0,0,54,2,3,0
925,Nathaniel Phillips ,47,ENG,CB,23-359,90,0,0,0,0,0,0,0,0,57,0,2,3
926,Trent Alexander-Arnold ,66,ENG,RB,22-159,90,0,0,0,0,0,0,0,0,86,1,0,0
927,Alisson ,1,BRA,GK,28-164,90,0,0,0,0,0,0,0,0,39,0,0,0
928,Roberto Firmino ,9,BRA,"FW,AM",29-183,77,0,0,0,0,1,0,0,0,47,0,0,1
929,   Georginio Wijnaldum ,5,NED,RM,30-143,13,0,0,0,0,1,1,0,0,17,0,0,0
930,Sadio Mané ,10,SEN,LW,28-358,90,0,1,0,0,3,2,0,0,39,2,0,0
931,Mohamed Salah ,11,EGY,RW,28-292,90,1,0,0,0,5,2,0,0,53,0,0,0
932,James Milner ,7,ENG,"LM,LB",35-089,90,0,0,0,0,2,0,0,0,84,0,0,1
933,Fabinho ,3,BRA,"CM,DM",27-162,90,0,0,0,0,1,0,0,0,80,6,1,0
934,Thiago Alcántara ,6,ESP,"RM,DM,LM",29-357,90,0,0,0,0,0,0,0,0,95,2,0,0
935,Andrew Robertson ,26,SCO,LB,27-023,60,0,0,0,0,0,0,0,0,67,3,0,1
936,   Diogo Jota ,20,POR,FW,24-120,30,2,0,0,0,2,2,1,0,20,1,0,0
937,Ozan Kabak ,19,TUR,CB,21-009,83,0,0,0,0,0,0,0,0,81,0,0,0
938,   Rhys Williams ,46,ENG,CB,20-059,7,0,0,0,0,0,0,0,0,15,0,0,0
939,Nathaniel Phillips ,47,ENG,CB,24-013,90,0,0,0,0,0,0,0,0,101,2,2,1
940,Trent Alexander-Arnold ,66,ENG,RB,22-178,90,0,1,0,0,1,0,0,0,88,2,3,1
941,Alisson ,1,BRA,GK,28-183,90,0,0,0,0,0,0,0,0,43,0,0,0
