,Player,shirt_number,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks
7709,   Hwang Hee-chan ,11,KOR,"AM,LW",27-045,22,1,0,0,0,1,1,0,0,10,0,0,0
7710,Adama Traoré ,37,ESP,RW,27-046,45,0,0,0,0,0,0,0,0,25,0,0,0
7711,   Pedro Neto ,7,POR,"FW,AM,RW",23-003,45,0,0,0,0,1,1,0,0,29,0,0,0
7712,João Moutinho ,28,POR,"AM,LM",36-185,74,0,0,0,0,1,1,0,0,38,5,2,0
7713,   Nathan Collins ,4,IRL,CB,21-316,16,0,0,0,0,0,0,0,0,18,1,1,0
7714,Mario Lemina ,5,GAB,"DM,CM",29-192,90,0,0,0,0,0,0,0,0,62,5,1,0
7715,Rúben Neves ,8,POR,"DM,RM",25-364,67,0,0,0,0,2,0,0,0,43,0,1,1
7716,   Matheus Nunes ,27,POR,"CM,DM",24-197,23,0,0,0,0,0,0,0,0,12,2,0,1
7717,Jonny Castro ,19,ESP,LB,29-009,68,0,0,0,0,0,0,0,0,33,1,0,1
7718,   Rayan Aït Nouri ,3,ALG,"WB,LB",21-279,22,0,0,0,0,0,0,0,0,12,0,0,0
7719,Max Kilman ,23,ENG,CB,25-293,90,0,0,0,0,0,0,0,0,74,2,0,4
7720,Craig Dawson ,15,ENG,CB,32-310,90,0,0,0,0,0,0,0,0,74,0,1,2
7721,Nélson Semedo ,22,POR,"RB,WB",29-116,90,0,0,0,0,0,0,1,0,56,2,0,2
7722,José Sá ,1,POR,GK,30-054,90,0,0,0,0,0,0,0,0,40,0,0,0
7723,Che Adams ,10,SCO,"FW,AM",26-245,90,0,0,0,0,2,0,0,0,29,0,0,4
7724,Kamaldeen Sulemana ,20,GHA,LW,21-028,90,0,0,0,0,1,0,0,0,49,1,1,2
7725,Mohamed Elyounoussi ,24,NOR,RW,28-223,57,0,0,0,0,0,0,0,0,31,0,1,3
7726,   Theo Walcott ,32,ENG,RW,33-364,33,0,0,0,0,0,0,0,0,15,0,1,0
7727,Carlos Alcaraz ,26,ARG,AM,20-105,65,0,0,0,0,1,0,0,0,41,1,0,3
7728,   Paul Onuachu ,12,NGA,FW,28-291,25,0,0,0,0,0,0,0,0,9,0,0,0
7729,Ibrahima Diallo ,27,FRA,DM,24-007,57,0,0,0,0,0,0,0,0,63,0,0,2
7730,   Roméo Lavia ,45,BEL,DM,19-068,33,0,0,0,0,0,0,0,0,26,2,0,0
7731,James Ward-Prowse ,8,ENG,DM,28-134,90,0,0,0,0,2,0,0,0,89,2,0,0
7732,Romain Perraud ,15,FRA,LB,25-174,90,0,0,0,0,1,0,0,0,78,4,0,1
7733,Armel Bella Kotchap ,37,GER,CB,21-094,90,0,0,0,0,0,0,0,0,88,2,0,2
7734,Jan Bednarek ,35,POL,CB,26-337,90,0,0,0,0,0,0,1,0,74,1,0,2
7735,Kyle Walker-Peters ,2,ENG,RB,25-336,58,0,0,0,0,0,0,0,0,43,2,0,1
7736,   James Bree ,14,ENG,RB,25-155,32,0,0,0,0,0,0,0,0,33,1,0,0
7737,Gavin Bazunu ,31,IRL,GK,21-023,90,0,0,0,0,0,0,0,0,45,0,0,0
7738,Ivan Toney ,17,ENG,FW,26-364,90,1,1,0,0,1,1,1,0,38,2,0,2
7739,Kevin Schade ,9,GER,"LW,RW",21-108,64,0,0,0,0,1,0,0,0,32,2,1,2
7740,   Yoane Wissa ,11,COD,"RW,FW",26-193,26,1,0,0,0,1,1,0,0,6,1,0,0
7741,Bryan Mbeumo ,19,CMR,"RW,LW",23-220,77,0,0,0,0,2,1,0,0,29,1,1,0
